C1	11.43	12.19	270.00	10pF	0603
C10	15.24	11.56	0.00	0.1uF	0603
C11	50.80	29.21	270.00	0.1uF	0603
C12	46.99	13.97	90.00	0.1uF	0603
C13	48.26	29.21	0.00	10pF	0603
C14	40.64	29.21	180.00	10pF	0603
C15	11.94	27.94	270.00	10uF	EIA3216
C2	11.43	20.96	90.00	10pF	0603
C3	16.51	26.16	0.00	10uF	EIA3216
C4	15.24	14.73	270.00	1uF	0603
C5	22.23	44.20	180.00	47uF	PANASONIC_D
C6	21.46	26.42	0.00	0.1uF	0603
C7	21.21	14.73	90.00	2.2uF	0603
C8	8.89	2.54	0.00	0.1uF	0603
C9	8.76	5.21	0.00	0.1uF	0603
D1	16.51	39.88	0.00	MBRA140	SMA-DIODE@1
D2	19.56	19.69	180.00	BAT20J	SOD-323
F2	8.13	27.94	0.00	6V 0.5A	0805
LED	27.94	38.10	180.00	Yellow	LED-0603
ON	63.50	34.29	180.00	RED	LED-0603
Q1	19.56	22.99	90.00	DMG2307L	SOT96P240X110-3N
R1	15.24	34.80	90.00	240	0603
R10	31.75	38.10	0.00	220	0603
R2	15.24	30.48	90.00	715	0603
R3	59.69	34.29	0.00	220	0603
R4	15.11	19.69	0.00	10k	0603
R5	7.62	20.96	90.00	22	0603
R6	9.53	20.96	90.00	22	0603
R7	66.04	29.21	90.00	10k	0603
R8	31.75	35.56	0.00	220	0603
R9	31.75	33.02	0.00	220	0603
RESET	15.24	3.81	180.00		TACTILE_SWITCH_SMD_5.2MM
RX	27.94	35.56	180.00	BLUE	LED-0603
TX	27.94	33.02	180.00	Yellow	LED-0603
U1	20.32	32.51	0.00		SOT223
U2	18.29	15.11	180.00	3.3V	SOT23-5
U3	4.57	12.57	90.00	CH340G	SOIC16
USB	3.52	24.00	0.00		USB-B-MICRO-SMD
Y1	44.45	29.21	180.00	16MHz	CRYSTAL-SMD-3.2X2.5MM
Y3	11.43	16.51	90.00	16MHz	CRYSTAL-SMD-3.2X2.5MM
